Output file generated by Rocket Thermal Analysis

Type of analysis: Case temperature distribution
        
Analysis Information:
 Case material: Aluminum 6061 - T6
 Insulator Material: EPDM
 Insulator thickness: 0.003 m
 Case thickness: 0.00555 m
 Inner cylinder radius: 0.11 m
 Time Steps: 50
 Burn time: 5.5 s
 Radial Steps: 100
 Convection coefficient: 1295 W/m2-K
 Initial case temperature: 297 K
 Combustion Temperature: 1600 K
        
Date:2020-10-20 20:05:39.393738
        
Method:Implicit
        
The following dataframe is organized by Time step x Radial position 

            0            1            2            3            4            5            6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85          86          87          88          89          90          91          92          93          94          95          96          97          98          99          100
10  1863.694105  1159.703359  1011.786139   878.041531   760.455780   659.842507   575.960819  507.736885  453.531694  411.404229  379.334977  355.392341  337.839407  325.188326  316.214466  309.943325  305.621777  302.682520  300.707859  299.396479  298.534999  297.974830  297.614080  297.383862  297.238201  297.146787  297.089858  297.054664  297.033058  297.019884  297.011907  297.007115  297.004268  297.002614  297.001706  297.001296  297.001270  297.001245  297.001220  297.001196  297.001172  297.001149  297.001127  297.001105  297.001084  297.001063  297.001043  297.001023  297.001004  297.000985  297.000967  297.000950  297.000933  297.000916  297.000900  297.000885  297.000869  297.000855  297.000840  297.000827  297.000813  297.000800  297.000788  297.000776  297.000764  297.000752  297.000741  297.000731  297.000721  297.000711  297.000701  297.000692  297.000684  297.000675  297.000667  297.000660  297.000652  297.000645  297.000639  297.000633  297.000627  297.000621  297.000616  297.000611  297.000606  297.000602  297.000598  297.000594  297.000591  297.000587  297.000585  297.000582  297.000580  297.000578  297.000576  297.000575  297.000574  297.000574  297.000573  297.000573  297.000573
11  1853.751367  1176.557629  1033.587362   903.183195   787.243725   686.698207   601.573368  531.147008  474.149457  428.975010  393.873749  367.105672  347.050142  332.272223  321.552765  313.891364  308.491398  304.735017  302.154128  300.401484  299.224352  298.441955  297.927030  297.591289  297.374309  297.235255  297.146849  297.091071  297.056134  297.034408  297.020995  297.012785  297.007820  297.004888  297.003257  297.002513  297.002464  297.002417  297.002371  297.002326  297.002282  297.002239  297.002197  297.002156  297.002117  297.002078  297.002041  297.002004  297.001968  297.001934  297.001900  297.001867  297.001835  297.001804  297.001774  297.001745  297.001716  297.001689  297.001662  297.001636  297.001611  297.001587  297.001563  297.001540  297.001518  297.001497  297.001476  297.001456  297.001437  297.001419  297.001401  297.001384  297.001367  297.001352  297.001337  297.001322  297.001308  297.001295  297.001283  297.001271  297.001260  297.001249  297.001239  297.001230  297.001221  297.001213  297.001205  297.001198  297.001192  297.001186  297.001180  297.001176  297.001172  297.001168  297.001165  297.001163  297.001161  297.001160  297.001159  297.001159  297.001159
12  1844.880969  1191.567038  1053.084160   925.847368   811.657410   711.503614   625.598849  553.486460  494.192501  446.395078  408.586762  379.213261  356.779557  339.921621  327.446821  318.348937  311.804692  307.158385  303.900134  301.641891  300.094032  299.044215  298.339277  297.870400  297.561339  297.359367  297.228455  297.144266  297.090531  297.056489  297.035088  297.021754  297.013555  297.008639  297.005869  297.004594  297.004509  297.004426  297.004345  297.004266  297.004189  297.004114  297.004041  297.003969  297.003900  297.003832  297.003766  297.003701  297.003638  297.003577  297.003518  297.003460  297.003404  297.003349  297.003296  297.003244  297.003194  297.003145  297.003098  297.003052  297.003007  297.002964  297.002922  297.002882  297.002843  297.002805  297.002768  297.002733  297.002699  297.002666  297.002635  297.002605  297.002575  297.002547  297.002521  297.002495  297.002471  297.002447  297.002425  297.002404  297.002384  297.002365  297.002347  297.002331  297.002315  297.002300  297.002287  297.002274  297.002263  297.002252  297.002243  297.002235  297.002227  297.002221  297.002216  297.002212  297.002208  297.002206  297.002205  297.002205  297.002206
13  1836.899651  1205.050398  1070.659999   946.415056   834.016888   734.479914   648.146509  574.761521  513.587850  463.542134  423.331284  391.575104  366.905814  348.040733  333.828684  323.273573  315.540060  309.946531  305.950186  303.128117  301.157305  299.795460  298.863849  298.232642  297.808871  297.526840  297.340703  297.218837  297.139666  297.088626  297.055986  297.035310  297.022395  297.014540  297.010062  297.007983  297.007841  297.007703  297.007569  297.007437  297.007309  297.007183  297.007061  297.006942  297.006825  297.006712  297.006601  297.006494  297.006389  297.006286  297.006187  297.006090  297.005996  297.005904  297.005815  297.005728  297.005643  297.005562  297.005482  297.005405  297.005330  297.005258  297.005187  297.005119  297.005053  297.004990  297.004928  297.004869  297.004812  297.004756  297.004703  297.004652  297.004603  297.004556  297.004511  297.004468  297.004426  297.004387  297.004349  297.004314  297.004280  297.004248  297.004218  297.004190  297.004164  297.004139  297.004116  297.004095  297.004076  297.004058  297.004042  297.004028  297.004016  297.004006  297.003997  297.003990  297.003984  297.003980  297.003979  297.003978  297.003980
14  1829.666507  1217.253369  1086.614002   965.190613   854.587956   755.823368   669.328896  595.002974  532.298591  480.332221  437.998260  404.076304  377.322523  356.540493  340.630436  328.618509  319.669419  313.086338  308.302107  304.865217  302.423382  300.706736  299.512025  298.688536  298.126133  297.745413  297.489857  297.319709  297.207319  297.133666  297.085800  297.055003  297.035479  297.023446  297.016511  297.013266  297.013041  297.012821  297.012606  297.012397  297.012192  297.011992  297.011797  297.011606  297.011421  297.011239  297.011063  297.010890  297.010722  297.010559  297.010399  297.010244  297.010093  297.009946  297.009803  297.009664  297.009529  297.009397  297.009270  297.009146  297.009026  297.008909  297.008796  297.008687  297.008581  297.008479  297.008380  297.008284  297.008192  297.008103  297.008018  297.007935  297.007856  297.007780  297.007707  297.007638  297.007571  297.007508  297.007447  297.007390  297.007336  297.007284  297.007236  297.007190  297.007148  297.007108  297.007071  297.007037  297.007006  297.006978  297.006953  297.006930  297.006910  297.006893  297.006879  297.006868  297.006859  297.006853  297.006850  297.006850  297.006853
15  1823.070083  1228.369106  1101.183513   982.420248   873.592458   775.706373   689.255357  614.255338  550.312303  496.710020  452.505865  416.624106  387.938655  365.340374  347.786926  334.335536  324.160667  316.559498  310.948407  306.853472  303.897582  301.786179  300.293087  299.247365  298.521705  298.022594  297.682219  297.452002  297.297541  297.194743  297.126918  297.082635  297.054172  297.036410  297.026067  297.021191  297.020847  297.020511  297.020182  297.019861  297.019547  297.019240  297.018941  297.018649  297.018364  297.018086  297.017814  297.017550  297.017291  297.017040  297.016795  297.016556  297.016323  297.016097  297.015876  297.015662  297.015454  297.015251  297.015054  297.014863  297.014678  297.014498  297.014324  297.014155  297.013992  297.013833  297.013681  297.013533  297.013390  297.013253  297.013121  297.012993  297.012871  297.012753  297.012641  297.012533  297.012430  297.012332  297.012239  297.012150  297.012066  297.011986  297.011911  297.011841  297.011775  297.011713  297.011656  297.011604  297.011556  297.011512  297.011473  297.011438  297.011408  297.011382  297.011360  297.011342  297.011329  297.011320  297.011316  297.011316  297.011320
16  1817.021123  1238.551899  1114.559636   998.305433   891.216667   794.279686   708.028804  632.570038  567.632916  512.641341  466.793890  429.144655  398.677519  374.369044  355.237425  340.377048  328.979655  320.344141  313.877453  309.089112  305.581681  303.039075  301.214206  299.916976  299.003292  298.365440  297.923946  297.620890  297.414552  297.275220  297.181971  297.120245  297.080054  297.054680  297.039764  297.032684  297.032176  297.031679  297.031193  297.030718  297.030253  297.029800  297.029357  297.028924  297.028502  297.028089  297.027687  297.027294  297.026911  297.026538  297.026174  297.025819  297.025474  297.025137  297.024810  297.024491  297.024181  297.023880  297.023587  297.023302  297.023026  297.022759  297.022499  297.022247  297.022004  297.021768  297.021540  297.021320  297.021107  297.020903  297.020705  297.020515  297.020333  297.020157  297.019989  297.019828  297.019675  297.019528  297.019388  297.019256  297.019130  297.019011  297.018900  297.018794  297.018696  297.018604  297.018520  297.018441  297.018370  297.018305  297.018246  297.018194  297.018149  297.018110  297.018078  297.018052  297.018033  297.018020  297.018014  297.018014  297.018020
17  1811.447081  1247.926768  1126.898254  1013.012769   907.617970   811.674990   725.744334  650.001151  584.275030  528.107435  480.819081  441.579895  409.475296  383.564274  362.926499  346.697424  334.091703  324.416216  317.074564  311.565077  307.474352  304.468058  302.280454  300.703680  299.577562  298.780389  298.220888  297.831461  297.562631  297.378604  297.253782  297.170081  297.114916  297.079709  297.058828  297.048854  297.048126  297.047414  297.046718  297.046037  297.045372  297.044721  297.044085  297.043464  297.042858  297.042266  297.041687  297.041123  297.040573  297.040036  297.039512  297.039002  297.038504  297.038020  297.037548  297.037089  297.036643  297.036208  297.035786  297.035376  297.034978  297.034592  297.034217  297.033854  297.033503  297.033162  297.032833  297.032515  297.032208  297.031912  297.031627  297.031353  297.031089  297.030835  297.030593  297.030360  297.030138  297.029926  297.029724  297.029533  297.029351  297.029179  297.029017  297.028865  297.028723  297.028591  297.028468  297.028355  297.028252  297.028158  297.028074  297.027999  297.027934  297.027878  297.027832  297.027795  297.027768  297.027749  297.027741  297.027741  297.027751
18  1806.288304  1256.596275  1138.327991  1026.681343   922.930193   828.007390   742.488876  666.602783  600.259974  543.100720  494.551354  453.884781  420.279423  392.872426  370.804339  353.253894  339.462699  328.750589  320.522962  314.271743  309.571656  306.073376  303.494905  301.612231  300.250060  299.273133  298.578460  298.088601  297.746022  297.508477  297.345311  297.234561  297.160733  297.113136  297.084674  297.070999  297.069985  297.068994  297.068024  297.067075  297.066147  297.065240  297.064353  297.063486  297.062640  297.061813  297.061005  297.060217  297.059448  297.058697  297.057965  297.057251  297.056555  297.055877  297.055217  297.054575  297.053949  297.053341  297.052750  297.052175  297.051617  297.051076  297.050551  297.050042  297.049548  297.049071  297.048609  297.048163  297.047732  297.047317  297.046917  297.046531  297.046161  297.045805  297.045464  297.045137  297.044825  297.044528  297.044244  297.043975  297.043720  297.043479  297.043252  297.043038  297.042839  297.042653  297.042481  297.042323  297.042178  297.042046  297.041928  297.041824  297.041733  297.041655  297.041590  297.041539  297.041501  297.041476  297.041465  297.041467  297.041481
19  1801.495200  1264.645497  1148.956070  1039.428287   937.267826   843.377690   758.341387  682.427510  615.613088  557.621613  507.970788  466.024876  431.047018  402.247706  378.826726  360.007010  345.059866  333.321906  324.204584  317.197593  311.867534  307.853212  304.858797  302.645875  301.025174  299.848541  299.001541  298.396897  297.968845  297.668421  297.459602  297.316237  297.219644  297.156780  297.118898  297.100598  297.099222  297.097876  297.096558  297.095269  297.094008  297.092774  297.091568  297.090389  297.089237  297.088111  297.087012  297.085938  297.084890  297.083867  297.082869  297.081896  297.080947  297.080023  297.079122  297.078245  297.077392  297.076562  297.075754  297.074970  297.074208  297.073468  297.072750  297.072054  297.071380  297.070728  297.070096  297.069486  297.068897  297.068329  297.067781  297.067254  297.066747  297.066261  297.065794  297.065347  297.064920  297.064513  297.064125  297.063757  297.063408  297.063078  297.062767  297.062475  297.062203  297.061949  297.061713  297.061497  297.061299  297.061119  297.060959  297.060816  297.060692  297.060586  297.060499  297.060429  297.060378  297.060346  297.060331  297.060335  297.060356
